,Country,long,lat,confirmed,death,recovered,active,recov_rate,death_rate,helth_care_access,mouvement_index,vulnerability_index
,Afghanistan,33.93911,67.709953,53984,2339,45868,5777,84.97,4.33,3.5,2.2,6.4
,Albania,41.1533,20.1683,67690,1277,40453,25960,59.76,1.89,5.7,5.4,4.1
,Algeria,28.0339,1.6596,103833,2836,70554,30443,67.95,2.73,4.2,4.5,3.6
,Angola,-11.2027,17.8739,18875,436,16347,2092,86.61,2.31,3,3.7,4.3
,Antigua and Barbuda,17.0608,-61.7964,189,6,156,27,82.54,3.17,4,5.4,3.4
,Argentina,-38.4161,-63.6167,1799243,45407,1583465,170371,88.01,2.52,4.6,5,3.2
,Armenia,40.0691,45.0382,164586,2992,152772,8822,92.82,1.82,6.1,6.2,4.4
,Austria,47.5162,14.5501,393778,7082,369218,17478,93.76,1.8,6.8,6.7,4.7
,Azerbaijan,40.1431,47.5769,227273,3009,215268,8996,94.72,1.32,4.3,5.2,3.8
,Bahamas,25.025885,-78.035889,8032,175,6525,1332,81.24,2.18,4.2,4.5,3.9
,Bahrain,26.0275,50.55,97607,360,94297,2950,96.61,0.37,4.3,8.6,2.9
,Bangladesh,23.685,90.3563,527632,7906,472437,47289,89.54,1.5,3.9,6.1,4.6
,Barbados,13.1939,-59.5432,1095,7,493,595,45.02,0.64,6.9,7.3,4.8
,Belarus,53.7098,27.9534,225461,1582,209208,14671,92.79,0.7,6.4,7.1,4.2
,Belgium,50.8333,4.469936,678839,20435,0,658404,0,3.01,7,7.9,4.7
,Belize,17.1899,-88.4976,11580,281,10694,605,92.35,2.43,4,3.8,3.6
,Benin,9.3077,2.3158,3413,46,3245,122,95.08,1.35,2.9,2.9,4.1
,Bhutan,27.5142,90.4336,842,1,574,267,68.17,0.12,2.7,2.4,3.9
,Bolivia,-16.2902,-63.5887,187183,9636,143437,34110,76.63,5.15,3.8,4.6,3.8
,Bosnia and Herzegovina,43.9159,17.6791,117011,4411,84650,27950,72.34,3.77,7.3,4.6,5.5
,Botswana,-22.3285,24.6849,17365,71,13519,3775,77.85,0.41,4.3,2.2,4.3
,Brazil,-14.235,-51.9253,8488099,209847,7509009,769243,88.47,2.47,4.4,4.6,3.7
,Brunei,4.5353,114.7277,174,3,168,3,96.55,1.72,4,4.7,2.7
,Bulgaria,42.7339,25.4858,211813,8483,156722,46608,73.99,4,7.8,5.9,5.6
,Burkina Faso,12.2383,-1.5616,9188,102,7391,1695,80.44,1.11,2.5,2.6,4.7
,Burundi,-3.3731,29.9189,1236,2,773,461,62.54,0.16,2.8,4.1,5.4
,Cabo Verde,16.5388,-23.0418,12993,119,12219,655,94.04,0.92,3.3,4.3,3.4
,Cambodia,11.55,104.9167,439,0,386,53,87.93,0,3.6,4.3,4.1
,Cameroon,3.848,11.5021,28010,455,26861,694,95.9,1.62,2.4,3.2,4.6
,Canada,53.9333,-116.5765,713181,18024,621857,73300,87.19,2.53,5.7,5.7,3.9
,Central African Republic,6.6111,20.9394,4973,63,4885,25,98.23,1.27,2.8,1.1,7.3
,Chad,15.4542,18.7322,2895,111,2130,654,73.58,3.83,2.8,2.7,5.9
,Chile,-35.6751,-71.543,669832,17477,626528,25827,93.54,2.61,4.8,4.9,3.4
,China,31.8257,117.2264,97939,4797,91205,1937,93.12,4.9,5.2,5.9,4.1
,Colombia,4.5709,-74.2973,1908413,48631,1729633,130149,90.63,2.55,4.2,4.4,4.5
,Comoros,-11.6455,43.3333,1592,45,1075,472,67.53,2.83,2.7,2.7,3.9
,Congo (Brazzaville),-0.228,15.8277,7709,114,5846,1749,75.83,1.48,2.6,2.7,4.8
,Congo (Kinshasa),-4.0383,21.7587,20908,631,14807,5470,70.82,3.02,2.6,2.8,5.7
,Costa Rica,9.7489,-83.7534,184187,2416,141374,40397,76.76,1.31,4.5,5.2,3.5
,Cote d'Ivoire,7.54,-5.5471,25241,141,23331,1769,92.43,0.56,2.8,4.3,4.5
,Croatia,45.1,15.2,224954,4616,216280,4058,96.14,2.05,8.1,7.6,5.6
